doi,satis,confirm,ideal,comp,handle,nocomp
2024-05-31,7,6,7,0,,1
84,9,8,8,0,,1
2024-11-30,8,7,8,0,,1
2024-11-18,6,8,7,0,,1
244,7,7,8,0,,1
255,7,8,7,1,7,
2024-06-28,7,9,7,0,,1
2024-05-09,8,9,8,0,,1
2024-04-20,7,8,8,0,,1
2024-06-13,8,9,8,0,,1
123,7,6,6,0,,1
124,7,7,6,0,,1
250,6,5,7,0,,1
150,9,7,8,0,,1
2,4,5,5,0,,2
291,8,7,8,0,,1
2024-12-18,6,8,7,0,,1
158,9,8,7,0,,1
2024-04-12,7,6,6,0,,1
34,8,8,7,0,,1
2024-08-19,7,7,7,0,,1
2024-11-18,8,7,7,0,,1
190,8,8,9,0,,1
347,7,7,7,0,,1
71,8,7,6,0,,1
2024-02-16,4,4,3,0,,1
16,8,8,9,0,,1
2024-11-06,8,7,7,0,,1
2024-02-09,7,8,8,0,,1
364,7,6,5,0,,1
2024-08-30,7,6,6,0,,1
2024-04-30,7,7,8,0,,1
240,7,8,6,0,,1
2024-04-20,6,6,7,0,,1
196,5,6,6,0,,1
283,7,6,6,0,,1
99,7,8,8,0,,1
2024-01-13,8,7,9,0,,1
129,7,6,7,0,,1
243,10,10,8,0,,1
99,6,7,5,0,,1
2024-05-11,5,7,6,0,,1
360,10,5,6,0,,1
2024-11-06,7,8,5,0,,1
2024-04-17,7,9,8,0,,1
337,9,7,8,0,,1
269,7,6,7,0,,1
2024-12-01,8,9,9,0,,1
2024-05-18,6,7,6,0,,1
2024-02-21,7,8,9,0,,1
207,8,7,7,0,,1
2024-05-30,5,4,5,0,,1
131,7,7,7,0,,1
207,8,6,5,0,,1
2024-10-03,7,8,6,0,,1
30,8,8,7,0,,1
51,9,9,9,0,,1
2024-06-15,7,6,7,0,,1
315,10,9,10,0,,1
2024-12-10,8,8,7,0,,1
2024-02-18,8,7,8,0,,1
303,6,7,7,0,,1
2024-10-04,5,7,6,0,,1
2024-04-19,6,6,7,0,,1
2024-03-24,4,3,5,1,5,
85,9,8,7,0,,1
178,10,9,10,0,,1
270,8,7,8,0,,1
2024-03-29,7,8,7,0,,1
2024-12-24,6,6,5,0,,1
68,8,6,8,1,6,
2024-12-29,5,3,4,1,4,
151,9,9,8,0,,1
2024-01-31,8,7,6,0,,1
62,6,6,8,0,,1
222,5,6,5,0,,1
195,10,9,10,0,,1
307,9,8,7,0,,1
2024-08-10,6,7,6,1,7,
2024-07-08,9,9,10,0,,1
2024-10-06,4,3,4,1,4,
98,8,7,7,0,,1
2024-01-20,7,8,7,0,,1
165,9,9,10,0,,1
2024-02-10,8,9,7,0,,1
2024-03-10,8,7,7,0,,1
226,8,9,9,1,6,
2024-07-12,6,5,8,0,,1
2024-10-16,6,7,8,0,,1
137,7,8,7,0,,1
182,9,9,10,0,,1
135,9,7,8,0,,1
129,7,6,7,0,,1
239,5,4,5,0,,4
82,8,10,8,0,,1
2024-02-27,6,7,8,0,,1
37,7,8,7,0,,1
2024-01-19,7,6,7,0,,1
342,6,5,5,0,,1
199,6,7,8,0,,1
2024-11-29,7,8,8,0,,1
338,7,7,9,0,,1
2024-11-21,8,8,8,0,,1
2024-09-07,5,6,5,0,,1
273,4,3,2,0,,1
2024-09-10,5,6,5,0,,1
80,8,7,9,0,,1
2024-01-08,8,9,8,0,,1
2024-06-11,8,8,8,0,,1
59,8,8,7,0,,1
175,7,7,6,0,,1
334,8,8,8,0,,1
2024-02-21,4,5,6,0,,1
350,9,8,8,0,,1
134,8,9,7,0,,1
350,7,7,8,0,,1
2024-09-13,7,6,7,0,,1
2024-08-18,4,5,6,0,,1
2024-01-20,7,7,6,0,,1
133,6,4,5,0,,2
2024-08-31,7,7,5,0,,2
2024-03-27,9,10,8,0,,1
2024-03-07,6,8,6,0,,1
73,5,7,7,0,,2
2024-06-17,7,8,8,0,,1
256,8,8,7,0,,1
46,6,7,8,1,6,
194,6,7,6,0,,1
101,7,6,7,0,,1
2024-10-17,6,4,4,0,,2
2024-02-20,7,6,7,0,,1
2024-04-24,4,5,6,1,6,
53,7,8,9,0,,1
288,8,7,8,0,,1
187,4,3,4,1,4,
73,3,3,5,1,4,
167,2,2,1,1,2,
255,6,7,8,0,,1
41,10,9,9,0,,1
173,4,6,6,1,6,
2024-01-11,6,7,8,0,,1
261,7,8,9,0,,1
2024-07-01,7,7,6,0,,1
2024-05-07,8,9,7,0,,1
2024-03-30,8,7,8,0,,1
2024-03-04,8,8,8,0,,1
51,7,5,6,0,,1
2024-03-08,7,6,7,0,,1
183,8,6,7,0,,1
349,8,8,8,0,,1
2024-04-12,8,8,8,0,,1
195,7,8,6,0,,1
2024-10-28,8,6,7,0,,1
2024-07-12,9,8,7,0,,1
63,8,7,7,0,,1
2024-04-12,8,6,8,0,,1
321,8,9,8,0,,1
2024-07-24,9,9,9,0,,1
2024-03-02,6,6,7,0,,1
56,8,9,7,0,,1
2024-04-09,8,9,8,0,,1
2024-11-21,6,6,5,1,5,
2024-08-23,7,7,6,0,,1
2024-07-21,9,9,9,0,,1
2024-10-31,8,7,7,0,,1
2024-07-03,9,8,8,0,,1
2024-01-12,7,7,8,0,,1
2024-08-19,9,10,10,0,,1
2024-01-28,9,10,10,0,,1
176,7,5,5,0,,1
66,7,7,7,0,,1
167,6,6,8,0,,1
2024-09-29,6,6,7,0,,2
2024-05-10,8,7,8,0,,1
2024-07-21,8,7,7,0,,1
2024-09-09,2,1,2,1,5,
2024-10-18,5,5,5,0,,3
2024-11-30,7,6,6,0,,1
2024-03-08,8,9,8,0,,1
2024-03-04,8,8,8,0,,1
114,7,8,7,0,,1
16,6,5,5,0,,1
103,7,8,8,0,,1
2024-04-13,6,6,6,0,,1
207,7,9,9,0,,1
362,7,8,9,0,,1
2024-04-06,6,7,6,0,,1
122,9,9,9,0,,1
322,8,7,7,0,,1
2024-05-28,8,8,7,0,,1
143,,8,6,0,,1
2024-09-26,6,7,7,0,,1
188,8,7,7,0,,1
2024-05-12,7,6,6,0,,1
2024-04-06,6,7,7,0,,1
85,8,8,7,0,,1
137,9,9,9,0,,1
2024-03-05,8,7,8,0,,1
277,9,10,9,0,,1
2024-04-09,9,9,9,0,,1
28,5,4,5,1,7,
2024-07-30,6,6,7,0,,1
238,6,7,6,0,,1
2024-07-14,5,6,6,0,,1
262,7,6,6,0,,1
361,9,7,8,0,,1
2024-10-16,7,7,6,0,,1
364,9,10,8,0,,1
223,6,5,5,0,,1
2024-01-23,5,5,4,0,,1
174,8,7,7,0,,1
73,8,6,7,0,,2
2024-07-27,9,9,9,0,,1
93,8,8,7,0,,1
2024-07-25,7,6,7,0,,1
21,6,7,7,1,7,
217,9,8,8,0,,1
293,7,8,8,0,,1
2024-03-27,5,7,5,0,,1
2024-10-08,4,4,5,1,5,
52,8,8,8,0,,1
2024-05-27,8,8,8,0,,1
215,8,8,8,0,,1
2024-09-25,9,7,7,0,,1
333,7,8,8,0,,1
131,8,7,7,0,,1
2024-01-22,8,8,7,0,,1
76,7,7,8,0,,1
2024-11-16,7,6,7,0,,1
278,9,8,8,0,,1
67,8,7,6,0,,1
228,5,5,6,0,,3
210,5,6,7,0,,1
2,8,8,7,0,,4
2024-04-22,9,8,8,0,,1
190,8,8,8,0,,1
2024-09-04,9,10,10,0,,1
304,5,4,5,0,,2
46,7,8,7,0,,1
48,8,6,7,0,,1
105,8,9,7,0,,1
16,4,2,2,0,,2
2024-05-09,4,2,2,0,,2
233,7,6,6,0,,1
2024-02-17,7,6,6,0,,1
2024-09-27,6,6,6,0,,1
111,7,6,6,1,4,
2024-04-23,6,7,6,0,,1
2024-08-19,8,8,7,0,,1
2024-03-29,8,10,7,0,,1
2024-04-23,6,7,8,0,,1
302,8,7,8,0,,1
2024-03-15,6,7,7,0,,1
2024-07-16,6,6,8,0,,1
32,7,6,8,0,,1
2024-10-26,7,6,6,0,,1
307,10,8,6,0,,1
2024-09-28,7,7,8,0,,1
2024-03-10,9,7,8,0,,1
2024-09-20,6,5,7,0,,1
2024-01-16,7,6,7,0,,1
2024-01-19,8,8,8,0,,2
2024-02-12,7,8,6,0,,3
2024-06-07,9,7,6,0,,1
2024-10-27,8,10,9,0,,1
2024-10-21,7,8,6,0,,1
2024-07-26,7,5,6,0,,1
2024-06-04,9,9,9,0,,1
154,8,6,8,0,,1
2024-10-30,8,8,6,0,,1
2024-11-21,4,4,2,0,,1
351,8,8,9,0,,2
49,7,7,8,0,,1
288,6,4,5,0,,1
2024-07-20,6,7,8,0,,1
141,9,7,7,0,,1
102,7,10,10,0,,1
86,9,9,9,0,,1
123,10,8,10,0,,1
361,6,8,6,0,,2
342,8,7,9,0,,1
260,5,5,6,0,,2
275,7,7,8,0,,1
2024-08-20,7,6,5,0,,1
2024-12-02,6,6,7,0,,1
2024-09-10,8,7,7,0,,1
258,9,8,8,0,,1
2024-06-16,7,7,8,0,,1
60,10,7,8,0,,1
2024-06-12,6,8,7,0,,1
273,6,7,7,1,7,
2024-05-24,3,2,3,0,,1
2024-09-26,7,6,7,0,,1
2024-07-01,7,6,5,0,,1
2024-04-15,7,6,7,1,7,
342,9,8,7,0,,1
2024-10-30,7,8,8,0,,1
2024-05-04,4,3,2,1,3,
2024-03-19,6,5,6,0,,1
18,6,7,7,1,6,
221,8,8,8,0,,1
322,8,8,9,0,,1
2024-08-05,7,8,6,0,,1
2024-04-29,6,5,6,1,6,
310,6,6,7,0,,1
98,5,6,6,1,5,
2024-10-17,5,4,5,0,,1
61,7,9,7,0,,1
165,8,9,7,0,,1
2024-10-07,7,8,7,0,,1
175,8,9,8,0,,1
34,7,8,8,0,,1
2024-01-11,7,8,7,0,,1
2024-11-11,7,7,8,0,,1
2024-03-24,8,8,8,0,,1
2024-07-22,4,5,6,0,,1
2024-02-07,1,2,1,0,,1
305,7,8,8,0,,4
320,8,8,8,0,,1
2024-11-18,6,6,7,0,,1
285,9,9,8,0,,1
2024-04-06,7,6,6,0,,1
2024-12-20,9,8,10,0,,1
21,5,5,7,0,,1
2024-05-19,6,7,5,0,,1
2024-09-23,7,7,8,0,,1
187,7,9,8,0,,1
2024-05-15,4,5,5,0,,1
114,8,9,7,0,,1
2024-06-17,10,8,9,0,,1
131,7,8,7,0,,1
153,7,5,6,0,,1
8,4,5,5,0,,1
2024-11-05,7,5,6,0,,3
2024-03-05,8,6,7,0,,1
123,8,5,7,0,,1
57,6,5,6,0,,1
284,7,7,8,0,,1
2024-06-01,8,7,8,0,,1
272,6,5,6,0,,1
2024-06-27,8,6,6,0,,1
2024-03-12,9,8,7,0,,1
2024-07-09,9,8,9,0,,1
2024-01-06,6,7,5,0,,1
184,7,7,7,0,,1
179,7,6,6,0,,1
341,9,9,9,0,,1
2024-03-15,7,5,8,0,,1
2024-03-20,5,5,7,0,,1
174,7,7,6,0,,1
266,6,5,6,0,,1
2024-03-22,8,7,8,0,,1
2024-12-03,7,8,7,0,,1
349,6,6,6,0,,1
4,7,8,9,0,,1
2024-03-09,9,9,7,0,,1
2024-11-23,6,7,8,0,,1
337,7,7,7,1,8,
2024-12-05,4,3,6,0,,3
321,7,7,8,0,,1
225,6,4,5,0,,1
161,9,10,8,0,,1
129,8,7,6,0,,1
2024-06-14,8,8,9,0,,1
2024-03-14,8,10,10,0,,1
234,7,8,7,1,7,
2024-08-11,6,7,6,0,,1
47,7,8,9,0,,1
299,6,8,8,1,6,
259,8,6,7,0,,1
2024-02-01,7,8,7,0,,1
111,7,6,7,0,,1
95,5,6,7,0,,1
2024-05-25,6,5,6,0,,1
2024-03-16,8,7,8,0,,1
2024-11-01,7,8,8,0,,1
205,7,8,8,0,,1
112,8,9,10,0,,1
310,7,7,8,0,,1
2024-04-30,8,8,6,0,,1
37,8,5,6,0,,1
189,8,9,7,0,,1
103,6,7,6,0,,3
2024-11-11,6,7,5,0,,2
2024-06-20,6,8,5,0,,1
275,7,9,9,0,,1
134,6,6,7,0,,1
211,5,4,4,0,,1
2024-10-16,5,6,6,0,,1
2024-03-22,7,7,7,0,,1
2024-09-27,8,8,8,0,,1
2024-01-15,7,7,8,0,,1
352,8,8,8,0,,1
2024-09-16,8,9,10,0,,1
240,7,7,7,0,,1
2024-02-29,6,7,6,0,,1
2024-11-01,5,7,5,0,,4
2024-09-13,7,5,6,0,,1
2024-12-28,8,8,8,1,8,
316,9,9,8,0,,1
127,7,5,6,0,,1
2024-02-25,5,6,5,0,,1
2024-09-16,8,9,9,0,,1
34,6,7,6,0,,1
122,7,8,7,0,,1
147,7,8,7,1,7,
2024-01-02,7,8,7,0,,1
296,9,9,9,0,,1
2024-01-19,9,10,10,0,,1
298,8,8,7,0,,1
342,5,7,6,1,5,
87,7,7,6,1,6,
140,3,3,2,0,,1
72,6,5,4,1,4,
307,5,5,5,0,,1
2024-08-13,6,6,7,0,,1
204,7,7,7,0,,1
345,9,8,8,0,,1
21,5,7,6,0,,1
2024-06-13,9,9,9,0,,1
2024-01-27,7,7,8,0,,1
3,6,8,8,0,,1
2024-10-30,7,8,8,0,,1
47,7,8,7,0,,1
2024-02-28,8,9,8,0,,1
150,8,9,8,0,,1
210,7,8,8,0,,1
237,7,7,7,0,,1
2024-07-07,6,8,6,0,,1
230,6,5,5,0,,3
2024-08-08,8,6,7,0,,1
47,6,5,4,0,,1
2024-10-31,6,7,5,0,,1
286,7,5,6,0,,1
155,8,7,6,0,,1
280,7,7,7,0,,1
2024-07-26,8,6,7,0,,1
2024-07-12,8,9,7,0,,1
2024-12-14,7,9,9,0,,1
2024-03-04,9,9,10,0,,1
2024-01-05,6,9,8,0,,1
2024-07-15,6,7,8,0,,1
239,8,7,9,0,,1
242,7,9,9,0,,1
2024-05-08,7,9,9,0,,1
282,7,6,6,0,,1
293,7,7,7,0,,1
258,5,7,8,0,,1
43,7,7,8,0,,1
173,9,8,8,0,,1
2024-01-07,7,7,6,0,,1
242,9,7,9,0,,1
2024-04-06,7,8,9,0,,1
2024-04-29,8,9,7,0,,1
2024-11-04,7,9,9,0,,1
91,8,9,9,0,,1
258,7,7,9,0,,1
2024-10-16,7,7,8,0,,1
306,6,7,8,0,,1
297,8,8,8,0,,1
203,9,8,9,0,,1
2024-05-06,8,6,7,0,,1
19,7,6,7,0,,1
84,6,7,7,0,,1
364,8,7,8,0,,1
2024-04-17,6,6,6,0,,1
175,9,9,8,0,,1
2024-07-07,8,6,7,0,,1
2024-02-19,10,9,9,0,,1
49,7,8,6,0,,1
98,7,8,8,0,,1
2024-12-11,5,7,7,0,,1
334,5,5,6,0,,1
271,7,7,8,0,,1
2024-12-18,8,10,9,0,,1
218,5,6,7,0,,1
34,9,8,9,0,,1
2024-09-04,6,6,7,0,,1
39,8,8,9,0,,1
186,8,9,7,0,,1
83,9,10,7,0,,1
224,6,8,7,0,,1
2024-05-20,8,7,7,0,,1
2024-01-31,9,10,9,0,,1
2024-04-06,7,7,6,0,,1
2024-01-26,8,9,7,0,,1
2024-07-23,6,9,9,0,,1
214,7,6,6,0,,1
2024-04-03,6,8,9,0,,1
187,6,6,7,0,,1
2024-10-21,9,9,8,0,,1
2024-06-26,6,10,9,0,,1
6,7,9,9,0,,1
228,5,6,6,0,,1
26,5,4,4,,,3
2024-06-28,7,8,7,0,,3
2024-03-26,8,7,8,0,,1
2024-09-13,5,6,7,0,,1
294,9,7,6,0,,1
338,10,10,10,0,,1
2024-03-18,7,8,7,0,,1
2024-04-11,7,7,6,0,,1
277,6,7,8,0,,1
2024-12-15,4,4,3,0,,2
2024-07-07,8,6,6,0,,1
259,7,5,7,0,,1
364,6,8,7,0,,1
313,6,7,5,0,,1
2024-04-19,6,6,7,0,,1
338,7,8,5,0,,1
2024-09-23,4,4,3,0,,3
2024-11-12,7,7,6,0,,1
53,6,7,6,0,,1
2024-02-19,7,6,7,0,,1
87,8,6,6,0,,1
289,6,6,5,0,,1
91,6,5,5,0,,1
2024-11-11,8,7,7,0,,1
2024-07-27,6,7,5,0,,1
96,6,6,7,0,,1
2024-08-09,8,9,7,0,,1
88,7,6,7,0,,1
143,6,6,5,0,,1
2024-03-27,7,8,5,0,,1
3,4,2,4,0,,3
121,7,5,6,0,,1
231,6,6,7,0,,1
2024-03-04,3,2,4,1,5,
2024-12-20,8,6,7,0,,1
2024-05-01,6,6,5,0,,1
2024-10-01,6,6,8,0,,1
2024-10-04,7,7,8,0,,1
2024-07-16,7,8,10,0,,1
157,6,6,7,0,,1
191,8,6,7,0,,1
2024-05-03,8,6,5,0,,1
2024-02-12,8,6,7,0,,1
205,10,8,9,0,,1
2024-06-19,6,8,9,0,,1
2024-08-22,6,8,9,0,,1
295,7,8,8,0,,1
46,9,9,10,0,,1
73,8,8,7,0,,1
229,9,8,9,0,,1
194,9,6,8,0,,1
2024-10-13,9,9,9,0,,1
2024-04-29,8,9,9,0,,1
2024-04-12,9,10,7,0,,1
2024-06-03,10,7,7,0,,1
2024-04-09,9,7,10,0,,1
2024-02-02,6,7,7,0,,1
231,6,6,8,0,,1
329,9,9,8,0,,1
2024-08-12,8,10,10,0,,1
2024-05-10,6,10,9,0,,1
2024-12-12,10,7,6,0,,1
2024-09-03,6,6,9,0,,1
2024-07-09,8,8,9,0,,1
2024-08-01,8,8,7,0,,1
2024-05-13,10,8,6,0,,1
23,6,8,8,0,,1
2024-03-24,7,8,6,0,,1
2024-12-11,10,6,8,0,,1
2024-01-20,9,7,7,0,,1
2024-06-05,10,6,7,0,,1
2024-12-24,10,8,9,0,,1
226,9,7,7,0,,1
58,6,6,10,0,,1
342,7,6,8,0,,1
2024-03-19,9,7,9,0,,1
2024-04-04,6,6,7,0,,1
234,7,7,5,0,,1
161,7,8,8,0,,1
102,6,6,7,0,,2
2024-01-31,5,5,4,0,,1
207,8,7,8,0,,1
218,3,3,2,0,,2
2024-04-13,7,6,7,0,,1
227,4,3,4,0,,3
2024-04-08,3,3,4,1,4,
2024-06-22,8,8,8,0,,1
206,8,7,7,0,,1
147,8,5,6,0,,1
2024-04-28,7,8,6,0,,1
2024-05-31,7,6,7,0,,1
2024-02-06,7,5,7,0,,1
92,5,6,6,0,,1
2024-12-17,6,7,6,0,,1
2024-01-23,6,7,7,0,,1
2024-06-02,6,6,6,0,,1
2024-11-28,5,4,4,0,,3
109,5,6,5,0,,1
2024-10-06,7,5,5,0,,2
339,6,6,7,0,,1
127,7,5,5,0,,1
2024-12-13,7,5,6,0,,1
2024-09-19,7,6,6,0,,1
270,5,5,7,0,,1
2024-07-17,7,5,5,0,,1
2024-06-29,4,4,2,1,4,
305,7,5,7,0,,1
257,7,6,7,0,,1
2024-01-07,6,6,4,0,,3
354,7,6,7,0,,1
294,4,5,6,1,6,
2024-02-13,7,8,7,0,,1
64,10,9,8,0,,1
2024-07-09,8,7,8,0,,1
2024-01-28,7,8,9,0,,1
2024-10-25,6,7,8,0,,1
312,7,8,6,0,,1
2024-10-29,9,10,9,0,,1
2024-07-29,8,7,8,0,,1
2024-05-23,3,4,5,1,5,
2024-03-26,10,10,9,0,,1
2024-12-28,10,9,10,0,,1
2024-04-04,2,3,4,1,4,
116,7,6,7,0,,1
297,9,10,9,0,,1
44,9,9,10,0,,1
60,4,6,6,0,,1
2024-06-16,2,2,1,0,,3
2024-10-19,6,7,7,0,,1
2024-08-16,6,6,5,0,,1
2024-09-21,7,5,6,0,,1
2024-09-28,6,6,5,0,,1
198,6,5,6,0,,1
2024-06-28,9,7,9,0,,1
2024-10-28,6,6,7,0,,4
2024-08-26,9,7,8,0,,1
2024-10-14,9,7,8,0,,1
2024-12-22,4,5,2,1,3,
189,7,5,6,0,,1
2024-09-01,9,8,7,0,,1
2024-10-13,8,9,8,0,,1
2024-12-03,10,9,9,0,,1
95,7,9,10,0,,1
194,7,6,8,0,,1
322,6,4,5,0,,1
298,5,3,3,0,,3
162,7,8,7,0,,1
2024-10-05,7,6,8,0,,1
2024-06-25,5,5,4,0,,1
48,7,7,8,0,,1
2024-03-16,9,9,9,0,,1
2024-08-19,6,7,7,0,,1
2024-07-19,8,8,8,0,,1
2024-11-04,4,5,4,0,,2
211,10,10,7,0,,1
2024-05-10,8,8,7,0,,1
20,10,10,9,0,,1
2024-03-17,10,10,9,0,,1
2024-11-14,7,6,5,0,,1
2024-09-24,6,7,7,0,,1
2024-01-21,7,6,7,0,,1
2024-01-27,6,6,6,0,,1
2024-03-12,9,8,10,0,,1
277,7,6,8,0,,1
2024-03-18,7,9,7,,,1
287,6,3,2,1,6,
109,5,5,4,1,5,
2024-02-20,9,8,7,,,1
290,7,5,6,,,1
203,6,5,5,,,1
2024-05-24,5,3,2,,,1
114,7,7,6,,,1
140,6,5,4,,,1
2024-12-21,6,7,7,,,1
2024-09-19,8,6,7,,,1
2024-09-04,5,6,4,,,1
82,9,6,8,,,1
35,7,6,6,,,1
295,9,8,8,,,1
277,7,8,9,,,1
134,5,6,5,,,1
2024-07-25,7,6,6,,,1
2024-09-19,6,6,5,,,1
328,6,8,7,,,1
125,7,7,6,,,1
5,7,9,8,,,1
2024-01-17,8,8,8,,,1
67,9,7,7,,,1
288,6,6,5,1,5,
2024-05-24,6,7,6,,,1
221,6,7,6,,,1
2024-11-03,6,7,6,,,1
143,5,6,4,,,1
2024-06-10,7,5,5,,,1
9,7,6,7,,,1
293,8,7,7,,,1
342,8,8,5,,,1
2024-04-13,7,7,7,,,1
220,7,8,7,,,1
2024-02-29,7,6,6,,,1
2,6,5,5,,,1
2024-07-17,6,7,5,,,1
2024-09-13,9,9,8,,,1
323,10,9,9,,,1
2024-04-25,8,7,7,,,1
2024-12-03,8,6,6,,,1
247,7,6,6,1,8,
2024-08-11,9,10,9,,,1
2024-01-09,8,7,5,,,1
102,5,6,5,1,5,
121,7,7,6,,,1
2024-10-28,6,5,5,,,1
49,4,5,2,1,6,
2024-03-11,7,8,8,,,1
2024-07-23,7,5,6,,,1
82,7,8,6,,,1
2024-06-13,8,7,7,,,1
209,7,8,7,,,1
2024-07-08,8,6,7,,,1
2024-11-13,7,5,6,,,1
290,6,4,3,,,1
132,7,5,4,,,1
156,6,3,3,1,4,
22,7,3,4,,,1
2024-01-06,6,5,5,,,1
2024-11-20,7,4,4,,,3
2024-05-25,6,4,4,,,1
121,6,7,6,,,1
2024-06-17,5,7,7,,,1
115,5,8,5,,,3
2024-03-11,9,9,8,,,1
2024-01-06,7,7,5,,,1
2024-06-28,8,8,8,,,1
2024-06-01,8,7,8,,,1
225,7,7,6,1,6,
304,8,8,7,,,1
114,7,7,6,1,1,
26,8,8,9,,,1
153,7,8,6,,,1
321,8,7,7,,,1
54,7,6,6,,,1
2024-02-07,7,6,7,,,1
23,7,8,8,,,1
2024-01-04,6,6,6,,,1
2024-11-07,7,5,6,,,1
86,8,9,,,,1
227,6,6,6,,,1
150,7,7,8,,,1
2024-03-11,8,8,6,,,1
2024-09-20,8,7,8,,,1
13,8,7,6,,,1
5,8,8,6,,,1
352,9,8,8,,,1
2024-10-14,4,4,3,1,4,
14,5,7,5,,,1
305,7,7,7,,,1
22,6,7,7,,,1
2024-10-16,6,6,5,,,1
2024-10-14,6,6,,,,1
2024-07-22,6,6,6,,,1
2024-06-03,6,7,5,,,1
161,9,7,6,,,1
2024-12-11,9,9,7,,,1
148,7,7,6,,,1
71,6,8,5,,,1
2024-10-01,7,6,6,,,1
66,6,7,6,,,1
2024-08-24,9,9,8,,,1
2024-09-09,7,7,6,,,1
187,8,9,8,,,1
182,7,5,6,,,1
348,6,8,8,,,1
101,7,7,8,,,1
190,7,7,8,,,1
2024-10-09,6,7,7,,,1
2024-04-21,7,8,8,,,1
2024-03-16,8,6,7,,,1
2024-02-14,5,3,3,,,1
360,7,6,6,,,1
2024-07-25,5,6,4,,,3
2024-11-14,8,6,6,,,1
2024-08-30,8,7,6,,,1
258,7,5,6,1,7,
2024-07-18,7,7,5,,,1
219,8,9,7,,,1
135,7,5,7,,,1
18,6,5,4,,,3
2024-02-19,8,6,5,,,1
192,7,5,5,,,1
2024-03-23,9,6,8,,,1
201,6,4,4,,,1
30,9,7,8,,,1
279,9,8,8,,,1
210,7,4,4,,,1
213,7,8,6,,,1
2024-03-09,8,7,7,,,1
70,8,6,7,,,1
145,6,6,5,,,1
2024-05-31,8,7,7,,,1
2024-11-15,6,6,5,,,1
47,8,7,7,,,1
9,6,6,5,,,1
271,7,8,6,,,1
233,7,6,6,,,1
352,7,5,5,,,1
2024-11-26,7,6,6,,,1
229,8,6,7,,,1
2024-06-05,9,8,7,,,1
2024-04-05,8,6,6,,,1
2024-01-06,7,6,6,,,1
2024-04-16,8,6,7,,,1
2024-06-02,8,7,8,,,1
2024-03-22,9,7,7,,,1
2024-11-09,8,6,5,,,1
2024-08-13,9,7,8,,,1
186,8,7,6,,,1
2024-09-13,5,5,6,1,6,
356,7,5,6,,,1
2024-10-12,8,6,6,,,1
2024-12-23,9,6,7,,,1
199,7,8,6,,,1
2024-10-17,8,7,7,,,1
2024-05-02,8,8,8,,,1
108,7,6,5,1,7,
